generador_graficos_marto.py ColorBordes 50
ASM STD: [952515.35335933]
ASM TRIMMED: [2644068.8300795374]
ASM VAR: [907285498385.2491]
O0  STD: [1409070.1866441036]
O0  TRIMMED: [80298428.63829787]
O0  VAR: [1985478790889.2493]
O1  STD: [11971848.521065919]
O1  TRIMMED: [34577970.325947106]
O1  VAR: [143325157011348.22]
O2  STD: [11291549.889630184]
O2  TRIMMED: [32556000.713876966]
O2  VAR: [127499098910007.39]
O3  STD: [9928332.906415256]
O3  TRIMMED: [28635102.73872584]
O3  VAR: [98571794300608.02]
